	Joy	Anger	Sadness	Fear	Disgust
hardy	     2.509	     1.680	     1.518	     2.204	     1.445
harem	     2.111	     1.783	     1.741	     2.094	     1.578
harfa	     3.094	     1.297	     1.478	     1.425	     1.217
hartować	     2.920	     1.507	     1.423	     2.013	     1.283
hasło	     2.333	     1.598	     1.480	     1.809	     1.347
haszysz	     1.684	     1.940	     1.938	     2.203	     1.836
Hawaje	     3.623	     1.320	     1.422	     1.498	     1.266
hazard	     1.523	     2.567	     2.465	     2.645	     2.226
heblować	     1.913	     1.689	     1.681	     1.924	     1.627
herbata	     3.368	     1.214	     1.416	     1.498	     1.224
Hercegowina	     2.588	     1.588	     1.571	     1.720	     1.468
heretyk	     1.598	     2.451	     2.043	     2.267	     2.066
heroiczny	     3.265	     1.519	     1.476	     1.840	     1.323
heroina	     1.166	     2.829	     3.135	     3.312	     2.841
heteroseksualny	     2.911	     1.550	     1.485	     1.834	     1.299
Hindus	     1.955	     1.400	     1.336	     1.503	     1.463
hipnotyzować	     1.957	     1.680	     1.486	     1.788	     1.560
hipochondryk	     1.338	     2.623	     2.689	     2.814	     2.258
hipokryzja	     1.158	     3.069	     3.030	     3.127	     2.622
historia	     2.588	     1.401	     1.394	     1.544	     1.288
Hiszpania	     3.429	     1.341	     1.470	     1.568	     1.260
Hitler	     1.212	     3.378	     3.077	     3.543	     3.028
hodować	     2.381	     1.522	     1.420	     1.604	     1.345
hodowla	     2.356	     1.584	     1.501	     1.674	     1.413
hojność	     3.740	     1.369	     1.328	     1.480	     1.174
hojny	     3.639	     1.377	     1.364	     1.620	     1.191
hol	     1.805	     1.436	     1.397	     1.500	     1.402
Holandia	     2.790	     1.474	     1.559	     1.617	     1.241
homar	     1.897	     1.510	     1.487	     1.614	     1.424
homoseksualny	     1.601	     2.226	     2.043	     2.452	     2.001
honor	     3.954	     1.377	     1.467	     1.522	     1.168
honorować	     3.527	     1.313	     1.318	     1.606	     1.156
hop	     2.493	     1.631	     1.567	     1.775	     1.450
horda	     1.732	     2.249	     1.930	     2.453	     1.975
horror	     1.521	     2.558	     2.580	     2.773	     2.172
hotel	     2.497	     1.487	     1.494	     1.564	     1.428
hrabia	     2.388	     1.546	     1.421	     1.752	     1.353
huk	     1.622	     2.377	     2.101	     2.664	     2.210
hulanka	     2.664	     1.555	     1.589	     2.141	     1.359
humanitarny	     3.292	     1.249	     1.470	     1.433	     1.206
humor	     3.877	     1.383	     1.411	     1.652	     1.250
humory	     1.785	     2.020	     2.023	     2.458	     1.845
huragan	     1.405	     2.884	     2.450	     3.080	     2.398
huśtać 	     3.237	     1.420	     1.359	     1.714	     1.279
huśtać się	     3.529	     1.397	     1.437	     1.704	     1.303
huśtawka	     3.407	     1.424	     1.449	     1.755	     1.322
hydrant	     1.981	     1.614	     1.471	     1.802	     1.560
idea	     3.531	     1.351	     1.398	     1.590	     1.191
idealistyczny	     3.100	     1.418	     1.481	     1.598	     1.290
idealny	     3.754	     1.418	     1.464	     1.653	     1.209
idiota	     1.266	     2.569	     2.976	     2.826	     2.508
idol	     3.186	     1.521	     1.451	     1.818	     1.314
igła	     1.580	     2.044	     1.847	     2.176	     1.861
ignorancja	     1.200	     2.660	     2.518	     2.613	     2.623
ignorować	     1.499	     2.370	     1.975	     2.094	     2.253
ikona	     2.433	     1.353	     1.369	     1.609	     1.258
ikra	     2.027	     1.428	     1.422	     1.486	     1.383
ił	     1.948	     1.368	     1.325	     1.323	     1.386
imam	     2.024	     1.718	     1.472	     1.866	     1.468
imbir	     2.380	     1.280	     1.264	     1.393	     1.241
impotencja	     1.195	     2.615	     2.907	     2.763	     2.351
impotent	     1.246	     2.429	     2.547	     2.273	     2.364
impreza	     3.748	     1.428	     1.457	     1.716	     1.293
imprezować	     3.704	     1.439	     1.460	     1.800	     1.325
impulsywny	     1.550	     2.476	     2.236	     2.911	     2.141
indyk	     2.081	     1.339	     1.285	     1.427	     1.341
indywidualistyczny	     3.340	     1.452	     1.421	     1.656	     1.249
infantylność	     1.485	     2.453	     2.211	     2.320	     2.250
inny	     2.161	     1.593	     1.489	     1.685	     1.662
inspirować	     3.888	     1.366	     1.394	     1.446	     1.148
integrowanie	     3.109	     1.502	     1.417	     1.797	     1.258
intelekt	     3.696	     1.378	     1.416	     1.625	     1.187
intelektualny	     3.600	     1.381	     1.439	     1.658	     1.199
inteligencja	     3.920	     1.381	     1.448	     1.559	     1.178
inteligentny	     3.840	     1.447	     1.455	     1.641	     1.219
intensywny	     3.275	     1.485	     1.470	     1.833	     1.332
interes	     2.932	     1.509	     1.422	     2.021	     1.287
interpretator	     2.247	     1.629	     1.439	     1.716	     1.385
intruz	     1.220	     3.154	     2.773	     3.108	     2.592
intymny	     3.127	     1.466	     1.436	     1.653	     1.348
inwestować	     2.909	     1.546	     1.417	     2.075	     1.296
Irlandia	     2.804	     1.426	     1.477	     1.473	     1.334
irracjonalny	     1.548	     2.227	     2.102	     2.207	     2.161
irytacja	     1.186	     3.125	     2.999	     3.126	     2.641
irytować	     1.156	     3.229	     2.803	     3.053	     2.687
iskra	     2.784	     1.553	     1.507	     1.948	     1.292
Islandia	     2.979	     1.481	     1.577	     1.620	     1.329
istota	     2.469	     1.358	     1.324	     1.497	     1.281
istota (sprawy)	     2.817	     1.467	     1.411	     1.742	     1.271
istotny	     3.154	     1.464	     1.423	     1.711	     1.243
iść	     2.556	     1.428	     1.440	     1.629	     1.281
iść po omacku	     1.330	     2.323	     2.531	     2.414	     2.250
Ja	     3.793	     1.389	     1.425	     1.528	     1.190
jabłecznik	     3.650	     1.176	     1.335	     1.410	     1.152
jabłko	     3.119	     1.197	     1.312	     1.258	     1.219
jacht	     3.333	     1.356	     1.545	     1.632	     1.269
jad	     1.283	     2.949	     2.355	     2.499	     2.544
jagnięcina	     2.028	     1.506	     1.477	     1.611	     1.476
jagoda	     3.066	     1.213	     1.322	     1.336	     1.263
jajko	     2.664	     1.255	     1.280	     1.299	     1.289
jakość	     3.099	     1.392	     1.394	     1.607	     1.253
jałmużna	     1.562	     2.052	     2.217	     2.261	     2.016
jałowy	     1.429	     2.149	     2.431	     2.277	     1.817
jamnik	     2.333	     1.374	     1.367	     1.458	     1.388
jarzmo	     1.561	     2.248	     2.226	     2.327	     2.143
jaskinia	     2.290	     1.370	     1.390	     1.472	     1.453
jaskrawy	     2.048	     1.851	     1.767	     2.186	     1.659
jasny	     3.058	     1.320	     1.571	     1.492	     1.264
jastrząb	     2.579	     1.437	     1.358	     1.667	     1.272
jaszczurka	     1.999	     1.598	     1.543	     1.769	     1.625
jaśmin	     3.111	     1.194	     1.336	     1.255	     1.192
jazda	     2.786	     1.543	     1.501	     1.911	     1.293
jazgot	     1.302	     2.738	     2.431	     2.578	     2.512
jazzowy	     2.879	     1.315	     1.455	     1.533	     1.240
jaźń	     2.311	     1.565	     1.457	     1.646	     1.390
jądro	     1.991	     1.802	     1.702	     2.070	     1.693
jednostka	     1.948	     1.388	     1.400	     1.555	     1.376
jedwab	     3.494	     1.209	     1.399	     1.361	     1.176
jedzenie	     3.604	     1.446	     1.624	     1.578	     1.246
jeep	     3.265	     1.402	     1.396	     1.560	     1.238
jeleń	     2.310	     1.401	     1.399	     1.523	     1.383
jelita	     1.613	     1.845	     1.966	     2.069	     1.969
jelito	     1.642	     1.866	     1.871	     2.008	     1.981
jełczeć	     1.446	     2.315	     2.354	     2.350	     2.318
jeniec	     1.227	     2.645	     2.845	     2.589	     2.364
jesień	     2.228	     1.411	     1.348	     1.358	     1.448
jeść	     3.655	     1.417	     1.603	     1.548	     1.239
jezioro	     3.546	     1.241	     1.366	     1.491	     1.235
jeździć	     3.158	     1.556	     1.491	     1.902	     1.322
jeż	     2.680	     1.317	     1.345	     1.317	     1.304
jeżdżenie	     3.173	     1.495	     1.459	     1.806	     1.295
jęczeć	     1.397	     2.530	     2.603	     2.792	     2.279
jęczmień	     1.836	     1.397	     1.395	     1.515	     1.453
jęknąć	     1.485	     2.319	     2.457	     2.619	     2.089
język	     2.594	     1.443	     1.433	     1.557	     1.310
jodła	     2.561	     1.240	     1.261	     1.219	     1.249
joga	     2.607	     1.284	     1.324	     1.360	     1.213
jogurt	     3.139	     1.204	     1.305	     1.259	     1.234
jutro	     2.526	     1.617	     1.600	     1.697	     1.385
kabel	     1.750	     1.645	     1.527	     1.702	     1.524
kabina	     2.101	     1.528	     1.524	     1.680	     1.460
kabura	     1.958	     1.771	     1.595	     1.921	     1.577
kac	     1.230	     2.456	     2.773	     2.714	     2.449
kaczka	     2.036	     1.417	     1.314	     1.454	     1.488
kaftan bezpieczeństwa	     1.218	     2.646	     2.649	     2.560	     2.408
kajak	     2.748	     1.470	     1.474	     1.507	     1.289
kakao	     3.229	     1.264	     1.397	     1.439	     1.250
kałuża	     1.791	     1.518	     1.577	     1.768	     1.707
kamień	     1.924	     1.410	     1.393	     1.523	     1.338
kamizelka	     2.119	     1.374	     1.331	     1.440	     1.271
kanał	     1.685	     1.710	     1.836	     1.955	     1.742
kanał ściekowy	     1.443	     2.321	     2.426	     2.372	     2.311
kanon	     2.128	     1.342	     1.327	     1.412	     1.337
kapać	     1.860	     1.784	     1.982	     1.942	     1.842
kapelusz	     2.236	     1.258	     1.239	     1.265	     1.219
kapitan	     2.870	     1.509	     1.485	     1.820	     1.319
kaplica	     2.033	     1.523	     1.429	     1.646	     1.460
kaprys	     1.476	     2.617	     2.104	     2.436	     2.213
kaptur	     2.314	     1.290	     1.254	     1.284	     1.317
kapusta	     2.015	     1.356	     1.314	     1.338	     1.390
kara	     1.164	     3.067	     2.761	     2.780	     2.720
kara śmierci	     1.641	     2.524	     2.048	     2.926	     2.151
karabin	     1.449	     2.642	     2.178	     2.944	     2.498
karać	     2.246	     1.605	     1.509	     1.750	     1.441
karafka	     1.206	     2.623	     2.760	     2.589	     2.599
karaluch	     1.136	     3.109	     3.212	     3.567	     3.005
karetka	     1.504	     2.496	     2.251	     2.698	     2.254
karma	     2.060	     1.679	     1.620	     2.064	     1.565
karmić	     2.979	     1.456	     1.539	     1.695	     1.271
karnawał	     3.630	     1.449	     1.486	     1.797	     1.317
karp	     1.918	     1.507	     1.440	     1.602	     1.549
kartel	     1.568	     2.337	     2.096	     2.561	     2.222
karton	     1.938	     1.450	     1.405	     1.457	     1.492
karuzela	     3.384	     1.447	     1.456	     1.756	     1.324
karykatura	     2.655	     1.595	     1.481	     1.785	     1.474
karzeł	     1.500	     1.991	     2.198	     2.278	     1.930
kask	     2.440	     1.527	     1.443	     1.564	     1.360
kasyno	     1.878	     1.811	     1.855	     2.230	     1.683
kaszel	     1.481	     2.312	     1.876	     2.174	     2.526
kat	     1.363	     2.998	     2.530	     3.424	     2.614
katalogować	     1.695	     1.699	     1.573	     1.862	     1.674
katastrofa	     1.146	     2.881	     3.324	     3.459	     2.783
kawa	     3.332	     1.375	     1.447	     1.630	     1.299
kawaler	     2.484	     1.715	     1.593	     1.824	     1.536
kawałek	     1.953	     1.396	     1.332	     1.366	     1.427
kawiarnia	     3.166	     1.268	     1.404	     1.426	     1.278
Kazachstan	     2.132	     1.552	     1.480	     1.663	     1.570
kazanie	     1.620	     1.967	     1.905	     2.147	     1.856
kazirodztwo	     1.155	     2.755	     3.421	     3.612	     2.755
kąpiel	     3.670	     1.264	     1.401	     1.507	     1.197
kąt	     1.943	     1.508	     1.433	     1.653	     1.600
kciuk	     1.983	     1.370	     1.338	     1.519	     1.282
kelner	     2.369	     1.447	     1.451	     1.606	     1.362
ketchup	     2.768	     1.267	     1.317	     1.298	     1.324
kędzior	     2.322	     1.498	     1.522	     1.696	     1.488
kępa	     1.831	     1.446	     1.420	     1.583	     1.554
kępka	     2.001	     1.418	     1.319	     1.418	     1.498
kęs	     2.489	     1.390	     1.429	     1.455	     1.357
khaki	     2.380	     1.466	     1.491	     1.583	     1.461
kibel	     1.396	     2.200	     2.251	     2.405	     2.248
kichać	     1.768	     1.769	     1.998	     2.073	     1.941
kicz	     1.506	     2.352	     2.242	     2.344	     2.381
kielich	     2.449	     1.592	     1.510	     1.821	     1.348
kiełbasa	     2.557	     1.327	     1.382	     1.412	     1.333
kiełek	     2.099	     1.281	     1.263	     1.355	     1.313
kiełkować	     2.623	     1.450	     1.453	     1.563	     1.255
kiełkowanie	     2.759	     1.383	     1.486	     1.502	     1.276
kiepski	     1.429	     2.257	     2.301	     2.309	     2.374
kierować	     2.644	     1.463	     1.389	     1.693	     1.276
kierować się	     2.324	     1.523	     1.500	     1.741	     1.316
kierownica	     2.679	     1.403	     1.444	     1.638	     1.257
kieszonkowe	     3.347	     1.391	     1.353	     1.702	     1.293
kij	     1.678	     1.804	     1.684	     1.876	     1.765
kil	     1.951	     1.659	     1.659	     1.906	     1.629
kilogram	     1.730	     1.678	     1.633	     1.868	     1.629
kiła	     1.142	     2.842	     3.479	     3.346	     2.802
kiosk	     2.026	     1.330	     1.273	     1.294	     1.412
kitel	     1.732	     1.788	     1.637	     1.849	     1.739
kiwi	     2.930	     1.237	     1.335	     1.232	     1.298
kiwnąć	     1.767	     1.410	     1.407	     1.516	     1.366
klacz	     2.173	     1.486	     1.485	     1.588	     1.417
klamka	     1.781	     1.458	     1.430	     1.566	     1.409
klamra	     2.042	     1.369	     1.372	     1.506	     1.341
klan	     2.198	     1.419	     1.392	     1.563	     1.368
klapa	     1.386	     2.043	     2.186	     2.218	     2.095
klapnąć	     2.219	     1.644	     1.747	     1.799	     1.557
klaps	     1.569	     2.389	     2.069	     2.308	     2.085
klasa	     2.287	     1.601	     1.490	     1.750	     1.375
klaskać	     3.185	     1.442	     1.445	     1.759	     1.313
klasztor	     1.779	     1.390	     1.393	     1.533	     1.454
klatka	     1.505	     2.052	     2.176	     2.239	     1.969
kleić	     1.684	     1.805	     1.684	     1.899	     1.721
klej	     1.882	     1.391	     1.391	     1.595	     1.355
klejnot	     3.499	     1.406	     1.383	     1.658	     1.199
klęczeć	     1.387	     2.240	     2.438	     2.353	     2.040
klęska	     1.153	     2.759	     3.257	     3.446	     2.869
klient	     2.057	     1.561	     1.524	     1.737	     1.475
klika	     1.650	     1.862	     1.742	     1.903	     1.760
kliknięcie	     1.933	     1.518	     1.517	     1.621	     1.423
klimat	     2.858	     1.561	     1.545	     1.619	     1.343
klin	     1.889	     1.662	     1.513	     1.721	     1.584
klips	     1.758	     1.414	     1.413	     1.510	     1.323
klocowaty	     1.555	     1.920	     1.993	     2.079	     2.088
klop	     1.561	     2.248	     2.226	     2.327	     2.143
klub	     2.625	     1.595	     1.491	     1.787	     1.435
klucz	     2.400	     1.456	     1.402	     1.695	     1.290
kłamać	     1.205	     3.329	     2.989	     3.226	     2.765
kłamca	     1.152	     3.240	     3.102	     3.253	     2.745
kłamliwość	     1.163	     2.983	     3.070	     3.218	     2.757
kłamstwo	     1.195	     3.273	     3.148	     3.420	     2.967
kłaść	     1.813	     1.452	     1.437	     1.618	     1.374
kłębek	     2.322	     1.481	     1.466	     1.628	     1.441
kłopot	     1.407	     2.400	     2.332	     2.321	     2.258
kłócić się	     1.140	     3.292	     2.866	     3.268	     2.703
kłótliwość	     1.209	     3.172	     2.709	     2.855	     2.543
kłótliwy	     1.175	     3.169	     2.831	     3.130	     2.617
kłótnia	     1.144	     3.256	     2.880	     3.233	     2.763
kłuć	     1.279	     2.876	     2.201	     2.310	     2.487
kłus	     2.180	     1.589	     1.522	     2.000	     1.383
kłusować	     1.606	     2.399	     2.095	     2.668	     2.254
knot	     1.850	     1.393	     1.342	     1.519	     1.465
kobierzec	     2.270	     1.708	     1.602	     1.887	     1.534
kobieta	     3.603	     1.413	     1.513	     1.580	     1.262
kobra	     1.585	     2.432	     2.097	     2.751	     2.273
koc	     3.125	     1.196	     1.346	     1.333	     1.219
kochać się	     4.228	     1.332	     1.373	     1.565	     1.183
kochanek	     3.281	     1.541	     1.602	     1.945	     1.508
kochanie	     4.194	     1.271	     1.404	     1.538	     1.182
kociak	     3.204	     1.427	     1.439	     1.613	     1.321
kod	     2.144	     1.452	     1.406	     1.607	     1.406
kogut	     1.814	     1.604	     1.478	     1.569	     1.567
koić	     3.547	     1.227	     1.420	     1.440	     1.198
kokon	     1.925	     1.604	     1.747	     1.852	     1.734
koks	     1.848	     1.823	     1.934	     2.291	     1.664
koktajl	     3.038	     1.554	     1.570	     1.588	     1.357
kolaborant	     1.479	     2.709	     2.076	     2.120	     2.341
kolacja	     3.535	     1.192	     1.362	     1.459	     1.172
kolano	     1.835	     1.442	     1.402	     1.550	     1.479
kolba	     1.710	     1.436	     1.409	     1.565	     1.344
kolej	     2.215	     1.537	     1.434	     1.666	     1.401
kolejka górska	     3.283	     1.417	     1.365	     1.719	     1.287
kolejny	     1.941	     1.334	     1.274	     1.311	     1.418
kolidować	     1.622	     1.986	     1.922	     2.060	     2.038
kolor	     2.815	     1.473	     1.600	     1.639	     1.247
kolorować	     3.267	     1.277	     1.447	     1.476	     1.246
kolorowy	     3.691	     1.432	     1.532	     1.674	     1.290
kolos	     1.690	     2.344	     1.938	     2.649	     1.976
