	Valence	Arousal	Dominance
bolígrafo	     5.167	     4.356	     5.247
bolsa	     4.749	     4.357	     5.133
bolsillo	     4.756	     4.363	     5.122
bolso	     6.182	     5.226	     5.434
bomba	     1.844	     6.649	     3.026
bombardeo	     1.689	     6.693	     3.090
bombero	     6.060	     5.226	     5.217
bombilla	     5.187	     4.334	     5.331
bondad	     7.489	     6.313	     5.656
borde	     3.103	     5.513	     4.433
borracho	     2.819	     5.457	     3.781
bota	     5.160	     4.329	     5.234
bote	     5.894	     5.446	     5.144
botella	     4.812	     4.615	     4.984
botín	     6.373	     5.272	     5.437
boxeador	     3.067	     6.281	     3.758
brazalete	     5.989	     5.039	     5.369
brazo	     5.084	     4.343	     5.186
brevedad	     3.986	     5.144	     4.082
brillante	     7.196	     5.914	     5.612
brío	     5.989	     5.544	     5.353
brisa	     6.847	     4.984	     5.280
bruja	     5.028	     5.232	     4.909
brújula	     5.610	     4.753	     5.283
brutal	     3.137	     6.471	     3.673
brutalidad	     1.886	     6.661	     3.559
buceador	     5.822	     5.192	     5.112
bueno	     7.535	     5.468	     5.797
buey	     4.704	     5.236	     4.647
búfalo	     3.497	     6.382	     3.662
bufanda	     5.647	     4.502	     5.290
búho	     5.819	     5.299	     4.931
buitre	     3.012	     5.677	     3.587
bulto	     3.511	     5.586	     3.846
burla	     2.199	     5.975	     4.061
burro	     5.613	     5.090	     4.833
butaca	     6.030	     5.051	     5.258
buzón	     5.009	     4.291	     5.138
caballero	     5.822	     5.237	     5.371
caballo	     6.934	     5.347	     5.666
cabello	     5.784	     5.478	     5.284
cable	     4.606	     4.533	     4.988
cachondeo	     7.111	     6.014	     5.447
cadáver	     2.098	     5.950	     3.285
cadena	     2.224	     6.194	     3.456
caída	     2.290	     6.058	     3.418
caimán	     3.075	     6.602	     3.429
caja	     5.340	     4.991	     5.150
calcetín	     5.119	     4.443	     5.281
calculadora	     4.997	     4.236	     5.111
cálculo	     4.132	     4.985	     4.703
calefacción	     6.712	     4.636	     5.592
calidad	     7.330	     5.381	     5.704
callado	     3.586	     4.757	     4.144
calle	     5.669	     5.344	     5.061
callejón	     3.399	     5.819	     3.677
calmar	     5.806	     4.882	     5.235
calor	     6.814	     5.784	     5.563
calvario	     2.055	     6.212	     3.313
calzoncillos	     4.210	     4.561	     4.889
cama	     8.056	     6.334	     5.961
camaleón	     6.452	     4.904	     5.414
camarera	     5.741	     4.699	     5.212
camarero	     5.762	     5.247	     5.293
cambio	     5.940	     5.448	     4.949
camello	     5.628	     5.106	     5.294
camión	     4.513	     4.716	     4.858
camionero	     4.771	     4.342	     5.119
camisa	     5.613	     4.621	     5.320
camiseta	     5.404	     4.412	     5.350
camisón	     5.236	     4.547	     5.053
campamento	     7.054	     5.697	     5.663
campaña	     4.968	     4.371	     5.074
campeón	     8.004	     6.128	     6.018
campeona	     7.492	     5.306	     5.836
campeonato	     6.558	     5.499	     5.251
campesino	     5.887	     4.848	     5.071
campo	     6.923	     5.611	     5.564
canario	     6.652	     4.852	     5.539
cáncer	     1.618	     6.741	     2.769
candado	     3.456	     5.518	     3.883
candidata	     5.953	     5.282	     4.882
candidato	     5.546	     5.538	     4.835
cangrejo	     5.684	     5.488	     4.923
canguro	     6.620	     5.299	     5.318
cansado	     3.364	     4.223	     4.493
cantante	     6.971	     5.101	     5.509
cantidad	     5.982	     5.494	     5.194
cantimplora	     5.742	     5.271	     5.358
caña	     5.455	     4.439	     5.242
cañón	     2.289	     6.555	     3.511
caos	     2.238	     6.463	     3.464
capacidad	     6.770	     4.709	     5.603
capaz	     7.388	     6.106	     5.633
capilla	     4.186	     4.591	     4.766
capital	     5.979	     5.346	     4.961
capitán	     5.676	     4.546	     5.337
capricho	     6.385	     5.576	     5.524
cara	     5.950	     5.577	     5.199
caracol	     4.283	     4.529	     4.899
caramelo	     6.976	     5.099	     5.558
cárcel	     2.030	     6.047	     3.291
carcelero	     2.591	     5.976	     3.613
cardenal	     3.492	     4.923	     4.506
carga	     2.739	     5.414	     3.892
caricia	     8.033	     6.227	     5.980
caridad	     6.649	     5.041	     5.241
cariño	     7.473	     6.231	     5.561
cariñoso	     8.007	     6.220	     5.928
carmín	     5.816	     4.888	     5.414
carnicería	     2.832	     5.176	     4.206
carnicero	     4.734	     4.393	     5.166
carpeta	     4.863	     4.399	     5.136
carpintero	     5.308	     4.360	     5.323
carretera	     5.288	     5.232	     4.940
carro	     4.818	     4.342	     5.121
carroña	     2.458	     5.091	     4.325
carta	     5.953	     5.044	     4.822
cartel	     5.114	     4.277	     5.151
cartera	     5.615	     4.888	     5.131
carterista	     2.143	     6.400	     3.471
casa	     7.253	     5.583	     5.737
casaca	     4.864	     4.473	     5.115
cascada	     6.812	     5.171	     5.711
casco	     5.173	     4.950	     5.131
caseta	     5.289	     4.384	     5.366
casino	     6.221	     5.601	     5.274
casita	     6.693	     4.873	     5.551
castidad	     2.788	     5.469	     3.861
castigo	     1.783	     6.582	     3.198
castillo	     5.861	     5.277	     5.114
casualidad	     6.794	     5.739	     5.339
catálogo	     5.397	     4.449	     5.222
cateto	     4.249	     4.475	     4.908
caudal	     5.226	     4.921	     4.964
cazador	     2.124	     6.067	     3.838
cazadora	     4.191	     5.277	     4.857
cebolla	     4.784	     4.434	     5.089
cebra	     6.673	     4.961	     5.539
celador	     3.542	     4.937	     4.189
celadora	     3.728	     4.672	     4.449
celo	     3.813	     4.828	     4.644
celos	     2.092	     6.366	     3.487
célula	     5.092	     4.344	     5.208
cementerio	     2.005	     4.854	     3.426
cemento	     4.379	     4.403	     4.883
cena	     6.920	     5.408	     5.617
cenicero	     2.616	     5.112	     4.403
ceniza	     2.974	     4.691	     4.189
centímetro	     4.837	     4.372	     5.172
centuria	     4.770	     4.497	     5.023
cepillo	     4.534	     4.369	     5.106
cerdo	     4.129	     4.646	     4.777
cerilla	     4.638	     4.688	     4.949
certeza	     6.393	     5.194	     5.358
cerveza	     6.244	     5.374	     5.296
césped	     6.748	     5.163	     5.686
cesta	     5.408	     4.484	     5.268
chacal	     4.487	     5.432	     4.410
chaleco	     5.023	     4.402	     5.162
chalet	     6.736	     5.688	     5.369
champán	     6.176	     5.219	     5.396
champiñón	     5.292	     4.349	     5.306
chándal	     5.700	     4.891	     5.343
chantaje	     1.983	     6.494	     3.884
chantajista	     1.900	     6.653	     3.549
chaqueta	     5.433	     4.419	     5.397
cheque	     7.023	     5.177	     5.721
chica	     6.381	     4.859	     5.626
chico	     6.409	     5.094	     5.489
