	Valence	Arousal	Dominance
dose	     5.503	     3.908	     5.594
dosis	     3.952	     5.398	     4.614
dozent	     5.262	     4.260	     5.526
drache	     6.679	     4.535	     5.507
drama	     2.900	     6.312	     4.508
dreck	     3.825	     5.310	     5.267
droge	     3.377	     6.105	     4.544
drohung	     2.479	     6.765	     4.480
druck	     2.657	     6.365	     4.539
duell	     6.137	     5.208	     5.058
duft	     7.520	     4.198	     5.617
dummheit	     3.117	     5.800	     4.987
durst	     3.202	     5.932	     4.533
dusche	     7.189	     4.696	     5.724
echse	     5.544	     4.558	     5.512
effekt	     5.717	     3.937	     5.526
egoismus	     2.895	     6.155	     4.968
ehre	     6.237	     5.062	     5.327
ehrgeiz	     7.007	     4.592	     5.707
ehrung	     7.228	     4.671	     5.739
eiche	     6.591	     3.891	     5.404
eidechse	     6.435	     4.090	     5.751
eifel	     5.801	     3.862	     5.355
eifer	     6.494	     4.584	     5.449
eigelb	     5.663	     4.033	     5.694
eigenart	     5.445	     3.973	     5.681
eigentum	     6.360	     4.250	     5.358
eimer	     5.047	     4.642	     5.180
eindruck	     5.605	     3.766	     5.641
einfall	     7.223	     4.671	     5.770
einfalt	     4.456	     4.820	     5.262
einheit	     6.830	     4.262	     5.507
einigung	     7.214	     4.704	     5.705
einklang	     7.232	     4.868	     5.626
einnahme	     5.773	     3.898	     5.438
einsatz	     5.406	     3.758	     5.688
einsicht	     6.315	     4.072	     5.326
einsturz	     2.501	     6.967	     4.132
eintritt	     5.457	     3.828	     5.734
ekel	     3.385	     5.485	     4.998
ekstase	     7.173	     4.658	     5.755
elch	     6.934	     4.491	     5.429
elefant	     7.206	     4.504	     5.730
embargo	     4.236	     4.930	     5.215
emotion	     6.969	     4.980	     5.408
ende	     3.437	     5.955	     4.576
endziel	     5.567	     4.020	     5.224
energie	     7.292	     4.648	     5.842
engel	     6.971	     4.014	     5.310
enkel	     6.750	     4.021	     5.411
ente	     7.147	     4.616	     5.646
entwurf	     6.227	     4.086	     5.417
entzug	     3.461	     5.825	     4.514
