	Valence	Arousal	Dominance
schirm	     6.016	     4.057	     5.448
schlacht	     2.094	     6.972	     4.061
schlaf	     7.512	     4.542	     5.776
schlag	     2.509	     6.568	     4.502
schlager	     5.661	     4.340	     5.504
schlampe	     3.257	     5.757	     5.198
schleim	     3.491	     5.342	     5.062
schlinge	     3.065	     6.310	     4.486
schloss	     7.211	     4.806	     5.698
schlucht	     3.951	     5.993	     4.314
schmerz	     2.467	     6.822	     4.317
schminke	     6.961	     4.312	     5.611
schmuck	     7.280	     4.794	     5.714
schmutz	     3.535	     5.520	     5.204
schnaps	     5.575	     4.485	     5.546
schnecke	     5.544	     4.200	     5.651
schnee	     7.337	     4.674	     5.711
schock	     2.491	     6.985	     4.132
schonung	     6.303	     3.964	     5.398
schrank	     5.335	     3.923	     5.703
schraube	     5.335	     3.923	     5.703
schreck	     3.536	     6.285	     4.412
schrei	     2.572	     6.847	     4.214
schritt	     5.406	     3.690	     5.713
schroff	     3.606	     5.362	     4.906
schrott	     4.424	     4.840	     5.224
schuft	     3.712	     5.285	     5.084
schuh	     5.839	     3.864	     5.432
schuld	     2.721	     6.418	     4.445
schule	     5.849	     4.182	     5.324
schurke	     3.802	     5.195	     5.118
schürze	     5.362	     3.795	     5.731
schutt	     4.295	     4.978	     5.215
schutz	     6.239	     4.039	     5.552
schwäche	     2.651	     6.560	     4.330
schwamm	     5.568	     3.983	     5.734
schwan	     7.280	     4.864	     5.658
schwein	     5.587	     4.380	     5.617
schwert	     4.759	     4.828	     5.236
schwur	     5.367	     4.010	     5.533
seele	     6.854	     4.137	     5.304
seenot	     2.455	     6.995	     4.079
seereise	     6.796	     4.588	     5.430
seerose	     7.187	     4.412	     5.510
segel	     6.497	     4.235	     5.494
segen	     7.231	     4.498	     5.820
seher	     5.300	     4.030	     5.489
sehne	     5.381	     3.955	     5.684
seide	     7.329	     4.484	     5.724
seife	     6.531	     4.051	     5.512
seil	     5.451	     3.953	     5.533
seite	     5.479	     3.773	     5.666
sekt	     6.965	     4.368	     5.670
sekte	     2.484	     6.625	     4.286
senat	     5.102	     4.420	     5.392
sense	     3.877	     5.922	     4.296
serbe	     5.247	     3.908	     5.647
sessel	     6.863	     4.389	     5.539
seuche	     2.333	     6.600	     4.042
sichel	     4.656	     4.975	     5.080
sieb	     5.468	     3.940	     5.541
sieg	     7.299	     4.875	     5.630
siegel	     5.335	     3.923	     5.703
sieger	     7.268	     4.746	     5.648
siesta	     7.260	     4.355	     5.664
silbe	     5.335	     3.923	     5.703
silber	     6.807	     4.229	     5.461
sinfonie	     6.982	     4.342	     5.339
sinn	     6.860	     4.554	     5.589
sintflut	     2.717	     6.752	     4.164
sippe	     4.451	     4.795	     5.308
sirup	     5.843	     4.070	     5.674
sitte	     5.312	     3.952	     5.460
sitzung	     5.445	     3.973	     5.681
skalpell	     4.017	     5.890	     4.329
skandal	     3.949	     5.075	     5.212
skat	     5.481	     3.948	     5.703
skelett	     4.137	     5.400	     4.917
skepsis	     4.365	     4.870	     5.249
sklave	     2.519	     6.535	     4.714
sklavin	     2.899	     6.018	     5.014
skorpion	     4.080	     5.750	     4.580
skrupel	     4.163	     5.105	     5.018
smaragd	     7.291	     4.834	     5.740
snob	     3.324	     5.763	     5.120
sodom	     4.600	     4.810	     5.227
sofa	     7.263	     4.358	     5.868
sohle	     5.335	     3.923	     5.703
sohn	     6.842	     4.328	     5.601
soldat	     2.793	     6.220	     4.708
solist	     6.218	     3.794	     5.461
sommer	     7.903	     4.642	     5.932
sonne	     7.903	     4.642	     5.932
sonntag	     7.299	     4.478	     5.507
sorge	     2.457	     6.985	     4.179
sorgen	     2.424	     7.007	     4.192
sorgfalt	     6.984	     4.568	     5.496
sorte	     5.457	     3.828	     5.734
souvenir	     7.081	     4.526	     5.592
spannung	     6.125	     4.858	     5.190
spargel	     6.378	     4.097	     5.736
spaß	     7.907	     4.512	     5.882
spende	     6.969	     4.545	     5.552
spesen	     5.511	     3.961	     5.716
spezial	     5.872	     3.850	     5.594
spiegel	     6.275	     4.246	     5.408
spiel	     7.259	     4.461	     5.739
spinne	     3.411	     5.510	     4.757
spinner	     5.215	     4.410	     5.473
spion	     3.443	     6.013	     4.692
spionage	     2.777	     6.358	     4.634
spitzel	     3.060	     5.938	     4.934
sport	     6.667	     4.760	     5.426
spott	     2.477	     6.555	     4.634
sprache	     6.823	     4.346	     5.558
spritze	     3.877	     5.637	     4.660
sprung	     6.045	     4.077	     5.464
spuk	     4.731	     5.495	     4.520
spule	     5.342	     3.876	     5.734
staat	     4.252	     4.905	     5.280
stamm	     5.521	     3.838	     5.601
stärke	     6.893	     4.549	     5.539
starre	     4.019	     5.410	     4.690
stau	     2.771	     6.185	     4.859
staub	     4.640	     5.038	     5.271
steak	     6.118	     4.278	     5.623
steg	     6.275	     4.696	     5.189
stein	     5.511	     3.770	     5.430
stelle	     5.335	     3.923	     5.703
stelze	     5.240	     3.888	     5.706
stempel	     5.357	     3.833	     5.719
stereo	     5.783	     3.812	     5.607
stern	     7.227	     4.062	     5.476
steuer	     3.285	     5.658	     4.934
stich	     2.945	     6.148	     4.452
stiefel	     6.315	     4.102	     5.446
stier	     4.907	     5.432	     4.620
stimmung	     6.355	     3.929	     5.319
stolz	     7.087	     4.969	     5.389
storch	     6.933	     4.478	     5.498
strafe	     2.664	     6.365	     4.693
straftat	     2.776	     6.275	     4.790
strand	     7.553	     4.300	     5.658
strapaze	     3.352	     5.535	     4.912
straße	     5.497	     3.856	     5.710
strauß	     7.154	     4.654	     5.702
streich	     5.776	     4.210	     5.427
streik	     4.035	     5.005	     5.180
streit	     2.577	     6.505	     4.586
strumpf	     5.459	     3.686	     5.694
stube	     6.531	     4.051	     5.512
stufe	     5.243	     3.920	     5.675
stuhl	     5.417	     3.790	     5.725
stunde	     5.335	     3.923	     5.703
sturm	     6.213	     5.140	     4.893
sturz	     2.582	     6.885	     4.167
stute	     6.918	     4.460	     5.476
suche	     5.165	     4.490	     5.264
sucht	     2.457	     6.727	     4.230
sumpf	     3.797	     5.535	     4.704
suppe	     6.397	     4.059	     5.405
symptom	     4.405	     5.140	     4.855
szene	     5.323	     4.220	     5.411
tabak	     4.031	     5.060	     5.505
tablett	     5.419	     3.748	     5.684
tablette	     4.808	     4.678	     5.330
tadel	     2.749	     6.192	     4.802
tafel	     5.544	     3.986	     5.651
tagung	     5.352	     3.931	     5.697
taifun	     2.718	     6.900	     4.151
taktik	     5.447	     4.130	     5.570
talent	     7.078	     4.539	     5.602
taler	     6.866	     4.470	     5.514
tampon	     4.788	     4.725	     5.476
tandem	     5.419	     3.748	     5.684
tanne	     6.860	     4.358	     5.458
tante	     5.742	     3.978	     5.427
tarif	     4.638	     4.757	     5.289
tarnung	     5.027	     4.163	     5.554
tasche	     5.965	     3.987	     5.402
tasse	     5.713	     3.792	     5.582
taste	     5.515	     4.020	     5.588
tatort	     3.132	     6.152	     4.550
tatsache	     5.335	     3.923	     5.703
taube	     6.054	     4.382	     5.620
taufe	     6.515	     4.089	     5.436
taumel	     5.009	     4.132	     5.289
teddy	     7.135	     4.420	     5.376
teil	     5.479	     3.773	     5.666
telefon	     6.354	     4.124	     5.420
teller	     5.648	     3.830	     5.653
tempel	     6.201	     3.924	     5.396
tempo	     6.489	     4.948	     5.234
tendenz	     5.335	     3.923	     5.703
tenor	     5.806	     3.814	     5.442
teppich	     5.647	     3.762	     5.663
terror	     2.086	     6.850	     4.108
test	     3.106	     6.505	     4.276
teufel	     3.445	     5.902	     4.464
theater	     7.402	     4.305	     5.372
theke	     5.757	     3.829	     5.386
thema	     5.313	     4.093	     5.560
therapie	     5.906	     3.847	     5.312
thriller	     5.769	     5.195	     4.824
thron	     6.715	     4.485	     5.480
tiefe	     4.931	     5.205	     4.758
tier	     7.184	     4.755	     5.502
tiger	     6.860	     4.815	     5.374
tinte	     5.449	     3.750	     5.442
tisch	     5.419	     3.748	     5.684
titel	     6.264	     4.124	     5.430
toast	     6.344	     3.959	     5.564
toaster	     5.750	     3.884	     5.682
tochter	     7.047	     4.681	     5.527
todfeind	     2.409	     6.823	     4.467
toilette	     4.505	     4.900	     5.367
toleranz	     7.261	     4.498	     5.613
tomate	     6.725	     4.289	     5.539
tonfall	     5.287	     4.168	     5.628
tonne	     5.535	     4.143	     5.647
torheit	     4.143	     4.895	     5.165
torpedo	     3.188	     6.052	     4.608
torte	     7.211	     4.248	     5.905
tortur	     2.454	     6.690	     4.448
tote	     1.827	     6.875	     3.754
tourist	     6.064	     4.428	     5.299
tracht	     5.439	     3.746	     5.691
trage	     4.019	     5.182	     4.837
tragik	     2.889	     6.332	     4.460
traktor	     5.397	     3.683	     5.747
trampel	     3.959	     4.988	     5.218
trance	     5.049	     4.293	     5.461
träne	     3.063	     6.048	     4.494
traube	     7.267	     4.601	     5.680
trauer	     2.574	     6.453	     4.222
traum	     7.351	     4.309	     5.407
trauma	     2.411	     6.995	     4.189
trauring	     6.860	     4.358	     5.458
trauung	     7.291	     4.768	     5.548
treffer	     7.214	     4.704	     5.705
trend	     6.035	     4.672	     5.474
trennung	     2.239	     6.780	     3.972
treppe	     5.335	     3.923	     5.703
tresor	     5.839	     3.922	     5.551
treue	     7.823	     4.450	     5.822
triangel	     5.972	     4.010	     5.435
trieb	     5.927	     4.225	     5.536
tritt	     2.987	     6.102	     4.714
triumph	     7.279	     4.506	     5.836
trommel	     5.884	     4.042	     5.451
tropen	     6.964	     4.400	     5.567
trost	     7.003	     4.247	     5.145
trotz	     3.407	     5.720	     5.046
trug	     2.949	     6.038	     4.595
truhe	     6.587	     4.109	     5.458
truppe	     4.398	     4.982	     5.155
tugend	     6.747	     4.428	     5.514
tulpe	     7.231	     4.758	     5.652
tumor	     1.827	     6.875	     3.754
tumult	     3.777	     5.462	     4.855
tunnel	     5.009	     4.666	     5.327
turban	     5.248	     3.963	     5.706
turm	     6.210	     4.904	     5.093
typhus	     2.787	     6.448	     4.048
tyrann	     2.571	     6.512	     4.665
übel	     2.817	     6.230	     4.492
übelkeit	     3.133	     5.770	     4.814
überfall	     2.425	     6.740	     4.424
übermut	     5.060	     4.720	     5.308
umbruch	     5.251	     4.325	     5.105
umfang	     5.173	     3.973	     5.666
umsatz	     6.744	     4.334	     5.501
umsicht	     6.762	     4.309	     5.498
umsturz	     4.129	     5.138	     5.058
umtrunk	     6.581	     4.069	     5.496
umweg	     3.514	     5.638	     5.168
unart	     3.959	     4.982	     5.177
undank	     2.841	     6.208	     4.936
unding	     4.148	     4.952	     5.190
unfall	     2.271	     6.962	     3.929
unfriede	     2.618	     6.460	     4.558
unfug	     5.633	     4.202	     5.358
ungeduld	     3.852	     5.142	     5.074
ungnade	     3.819	     5.298	     4.965
unheil	     2.471	     7.002	     4.170
unkosten	     3.835	     5.138	     5.130
unkraut	     4.655	     4.812	     5.364
unlust	     3.972	     5.055	     5.078
unmensch	     2.777	     6.232	     4.640
unmut	     3.932	     5.020	     5.128
unrat	     3.368	     5.583	     5.220
unrecht	     2.651	     6.277	     4.802
unruh	     4.255	     4.885	     5.236
unruhe	     2.891	     6.338	     4.496
unschuld	     6.157	     3.936	     5.436
unsinn	     5.315	     4.255	     5.336
untat	     3.155	     5.745	     4.943
unterton	     4.236	     4.930	     5.215
untier	     4.441	     5.052	     4.942
untreue	     2.262	     6.775	     4.562
unwesen	     3.882	     5.412	     4.724
unwetter	     4.663	     5.675	     4.512
urlaub	     7.861	     4.568	     5.766
urlauber	     7.269	     4.581	     5.830
urne	     2.207	     6.568	     3.910
urteil	     4.264	     5.230	     4.884
urwald	     6.997	     4.838	     5.424
vampir	     5.427	     4.470	     5.343
vanille	     7.243	     4.694	     5.667
vater	     7.179	     4.672	     5.464
vehemenz	     5.064	     4.580	     5.417
veilchen	     7.147	     4.668	     5.739
ventil	     5.357	     3.833	     5.719
venus	     6.874	     4.137	     5.573
veranda	     7.087	     4.636	     5.562
verband	     5.000	     4.408	     5.498
verbot	     3.589	     5.297	     5.050
verdacht	     3.059	     6.060	     4.674
verderb	     3.495	     5.560	     4.864
verehrer	     7.445	     4.395	     5.373
verfall	     3.167	     6.098	     4.166
verkehr	     5.125	     4.490	     5.392
verlies	     2.587	     6.720	     4.088
verlust	     2.421	     6.662	     4.232
vermögen	     7.283	     4.806	     5.686
vernunft	     7.054	     4.464	     5.527
verrat	     2.506	     6.546	     4.649
verruf	     3.939	     5.112	     5.065
versager	     2.575	     6.455	     4.658
versehen	     4.714	     4.497	     5.274
verstand	     7.194	     4.641	     5.677
versteck	     5.186	     4.550	     4.940
versuch	     5.471	     3.906	     5.638
vertrag	     5.265	     3.975	     5.694
verweis	     3.199	     5.717	     4.937
verzehr	     5.866	     3.975	     5.389
verzicht	     4.303	     4.860	     5.227
veto	     3.793	     5.405	     5.068
villa	     7.399	     4.299	     5.754
virus	     2.311	     6.838	     4.051
visum	     4.894	     4.535	     5.224
vitamin	     7.155	     4.774	     5.634
vogel	     7.192	     4.454	     5.789
volk	     4.613	     5.158	     5.036
vollmond	     7.025	     4.208	     5.432
vorbau	     5.335	     3.923	     5.703
vorbild	     6.970	     4.590	     5.533
vorfall	     4.960	     4.745	     5.346
vorhaben	     6.201	     3.924	     5.396
vorliebe	     7.144	     4.641	     5.727
vormund	     4.604	     4.788	     5.246
vorrat	     6.881	     4.586	     5.518
vorsicht	     4.749	     4.810	     5.190
vorsorge	     6.243	     4.372	     5.299
vorspiel	     6.947	     4.207	     5.616
vorstand	     5.169	     4.380	     5.507
vorteil	     7.191	     4.808	     5.630
vortrag	     5.181	     4.560	     5.021
vorwand	     3.632	     5.257	     5.165
vorwurf	     2.644	     6.328	     4.718
vorzug	     5.927	     4.137	     5.436
vulkan	     5.190	     5.185	     4.677
waage	     4.651	     4.723	     5.327
wabe	     5.607	     4.130	     5.607
wache	     5.163	     4.326	     5.580
wachstum	     7.077	     4.634	     5.514
waffe	     2.187	     6.975	     4.233
waffel	     7.195	     4.536	     5.698
wagemut	     6.069	     4.089	     5.518
wagen	     6.191	     4.064	     5.440
wagnis	     4.907	     5.432	     4.620
wahl	     3.821	     5.738	     5.079
wahn	     2.521	     7.020	     4.176
wahnsinn	     3.545	     6.005	     4.423
wahrheit	     7.305	     4.125	     5.413
waise	     2.813	     6.257	     4.416
wald	     7.273	     4.700	     5.283
walnuss	     6.037	     3.992	     5.488
walzer	     6.689	     4.146	     5.495
wand	     5.399	     3.943	     5.535
wange	     6.857	     4.297	     5.508
wanne	     6.973	     4.508	     5.496
wanze	     3.385	     5.485	     4.998
warnung	     3.367	     6.218	     4.248
warterei	     3.123	     5.873	     4.927
warze	     3.345	     5.513	     5.058
wasser	     7.220	     4.751	     5.602
watte	     6.517	     4.006	     5.486
weber	     5.342	     3.876	     5.734
wecker	     3.915	     5.070	     5.174
wehklage	     3.451	     5.595	     4.705
wehmut	     3.718	     5.450	     4.629
wehr	     2.767	     6.403	     4.454
weide	     6.653	     3.966	     5.404
wein	     6.912	     4.322	     5.651
weisheit	     7.127	     4.345	     5.536
weite	     7.079	     4.655	     5.408
welle	     7.129	     4.842	     5.520
welpe	     7.803	     4.430	     5.816
welt	     7.099	     4.864	     5.320
weltall	     6.794	     4.315	     5.470
weltruhm	     6.869	     4.540	     5.598
werbung	     4.153	     5.007	     5.255
werk	     6.317	     3.982	     5.524
wert	     6.554	     4.671	     5.349
werwolf	     4.197	     5.555	     4.501
wespe	     2.415	     6.642	     4.120
weste	     5.335	     3.923	     5.703
whisky	     5.683	     4.290	     5.470
wiege	     6.531	     3.984	     5.411
wiese	     7.160	     4.388	     5.580
wille	     7.112	     4.364	     5.348
willen	     6.286	     4.096	     5.420
wind	     6.552	     4.158	     5.298
winter	     6.193	     4.218	     5.339
wippe	     6.675	     4.077	     5.502
wirkung	     5.792	     3.880	     5.520
wirrnis	     4.379	     4.950	     5.196
wissen	     7.247	     4.563	     5.630
witwe	     3.458	     5.795	     4.586
witwer	     4.044	     5.052	     4.640
woche	     5.230	     4.092	     5.476
wodka	     5.904	     4.502	     5.552
wohltat	     7.280	     4.794	     5.714
wohnheim	     5.566	     4.285	     5.501
wohnung	     6.933	     4.478	     5.498
wolke	     7.145	     4.828	     5.539
wolle	     6.298	     3.971	     5.452
wollust	     5.743	     4.240	     5.633
wonne	     7.150	     4.310	     5.630
wort	     6.059	     4.248	     5.314
wucht	     4.685	     4.848	     5.099
wunde	     3.033	     6.028	     4.536
wunder	     7.319	     4.327	     5.513
wunsch	     7.230	     4.083	     5.476
würfel	     5.902	     3.902	     5.458
wurm	     3.371	     5.475	     5.039
wurst	     4.462	     4.875	     5.417
yacht	     6.605	     4.232	     5.520
zahl	     5.712	     4.085	     5.496
zahlung	     4.831	     4.620	     5.348
zahn	     4.137	     5.428	     4.611
zahnarzt	     3.549	     5.978	     4.351
zange	     4.637	     4.908	     5.186
zank	     2.624	     6.328	     4.821
zäpfchen	     4.218	     5.135	     5.245
zauber	     7.160	     4.415	     5.546
zauberei	     7.137	     4.641	     5.683
zauberer	     7.162	     4.661	     5.611
zebra	     7.003	     4.598	     5.542
zeche	     5.342	     3.876	     5.734
zeitnot	     2.663	     6.458	     4.806
zeitung	     6.415	     4.189	     5.445
zelle	     4.241	     5.168	     5.062
zensur	     3.663	     5.220	     5.140
zerfall	     2.561	     6.778	     4.276
zerrung	     3.185	     5.780	     4.818
zettel	     5.469	     3.673	     5.653
zeuge	     4.496	     4.600	     5.252
zeugin	     5.085	     4.258	     5.597
zeugnis	     5.599	     4.080	     5.417
ziege	     6.159	     4.105	     5.426
ziegel	     5.335	     3.923	     5.703
ziel	     7.467	     4.516	     5.519
zigarre	     4.354	     5.183	     5.196
zimmer	     5.746	     3.804	     5.607
zins	     5.482	     4.672	     5.421
zirkus	     6.583	     4.302	     5.370
zitat	     5.783	     3.882	     5.550
zitrone	     6.725	     4.289	     5.539
zoll	     3.389	     5.592	     4.962
zopf	     5.951	     4.123	     5.511
zorn	     2.611	     6.337	     4.836
zufall	     5.709	     4.082	     5.399
zuflucht	     6.643	     4.451	     5.223
zugabe	     7.215	     4.756	     5.740
zuhause	     7.582	     4.417	     5.591
zukunft	     6.022	     4.928	     4.877
zunge	     5.685	     4.103	     5.760
zusage	     7.250	     4.328	     5.548
zustand	     5.173	     3.973	     5.666
zwang	     2.289	     6.788	     4.464
zweck	     5.383	     3.783	     5.676
zweifel	     2.565	     6.783	     4.232
zwieback	     5.460	     3.818	     5.635
zwiebel	     5.651	     3.996	     5.731
zwist	     2.807	     6.158	     4.586
zylinder	     5.357	     3.833	     5.719
zynismus	     4.052	     4.935	     5.208
