Word	Valence	Arousal	Dominance
delito	1.8700000047683716	7.035999774932861	6.331099987030029
delta	4.868000030517578	3.5973000526428223	3.634999990463257
demagogia	2.1231000423431396	5.920499801635742	5.346399784088135
demanda	3.72189998626709	5.804699897766113	5.26639986038208
demandada	3.1867001056671143	6.196599960327148	5.643700122833252
demandado	3.3492000102996826	5.1554999351501465	4.789899826049805
demandante	3.695199966430664	5.088099956512451	4.758399963378906
demandar	3.002000093460083	6.48960018157959	5.888299942016602
demarcación	4.164000034332275	4.246399879455566	4.076300144195557
demás	4.982699871063232	3.8083999156951904	3.849900007247925
demasía	4.445000171661377	4.287700176239014	4.0366997718811035
demasiado	5.1149001121521	4.873300075531006	4.637499809265137
demo	4.923699855804443	4.174200057983398	4.029699802398682
demócrata	5.57859992980957	5.450900077819824	4.994699954986572
democrático	6.564199924468994	4.992499828338623	4.89900016784668
democratización	5.180200099945068	5.0970001220703125	4.68310022354126
democristiano	3.9419000148773193	5.197500228881836	4.825200080871582
demografía	5.095799922943115	3.9386000633239746	3.9860999584198
demográfico	4.825200080871582	3.5548999309539795	3.5876998901367188
demoler	2.8608999252319336	5.736000061035156	5.2322001457214355
demolición	2.9514000415802	5.317299842834473	4.7453999519348145
demora	3.174299955368042	5.1468000411987305	4.759900093078613
demorar	2.8524999618530273	5.155399799346924	4.639999866485596
demostración	5.151100158691406	4.3130998611450195	4.239099979400635
demostrar	6.178800106048584	5.664000034332275	5.267899990081787
demostrativo	4.982100009918213	3.933199882507324	3.960400104522705
denegación	2.424299955368042	5.649899959564209	5.130899906158447
denegar	2.6774001121520996	5.557600021362305	5.043799877166748
denim	5.299499988555908	3.9974000453948975	4.023099899291992
denominación	4.685999870300293	4.178199768066406	4.049699783325195
denominador	4.239799976348877	4.725599765777588	4.394700050354004
denotar	4.724100112915039	4.202600002288818	4.112199783325195
densa	4.666600227355957	3.945199966430664	3.8754000663757324
densidad	4.619999885559082	4.380099773406982	4.173299789428711
dentadura	4.39169979095459	4.025700092315674	3.822499990463257
dental	4.581900119781494	4.333899974822998	4.109899997711182
dentro	6.155399799346924	4.258399963378906	4.28980016708374
denunciar	2.6226999759674072	5.548699855804443	5.115200042724609
departamental	4.798699855804443	3.6563000679016113	3.678999900817871
departamento	4.703800201416016	4.27839994430542	4.112199783325195
dependencia	2.5378000736236572	6.090199947357178	5.552999973297119
depender	2.673799991607666	5.3632001876831055	4.811500072479248
dependiente	3.5576999187469482	4.473499774932861	4.230299949645996
deplorable	2.210599899291992	5.6132001876831055	5.033199787139893
deponer	3.518699884414673	4.742000102996826	4.488699913024902
deportación	2.1473000049591064	6.273099899291992	5.658899784088135
deporte	6.650000095367432	6.195700168609619	5.716599941253662
deportiva	6.291500091552734	4.986000061035156	4.831699848175049
deportivo	6.424499988555908	5.669300079345703	5.325300216674805
deposición	3.299799919128418	5.128600120544434	4.401899814605713
depositar	4.833799839019775	3.758699893951416	3.780600070953369
depósito	4.466800212860107	3.7757999897003174	3.7172000408172607
depreciación	2.59689998626709	5.299699783325195	4.756199836730957
depredador	2.757200002670288	6.878799915313721	5.790299892425537
deprimente	1.9922000169754028	5.853300094604492	5.2006001472473145
deprisa	4.80679988861084	4.633999824523926	4.418900012969971
depuración	5.226799964904785	4.679699897766113	4.271900177001953
depurar	5.587500095367432	4.130799770355225	4.094099998474121
derby	4.575699806213379	5.340099811553955	4.791399955749512
derechista	2.516400098800659	5.163300037384033	4.7017998695373535
derecho	5.536300182342529	4.839600086212158	4.605999946594238
derivación	5.103300094604492	4.623799800872803	4.4141998291015625
derivar	4.765999794006348	4.29010009765625	4.136199951171875
dermatitis	2.2846999168395996	5.555600166320801	5.082399845123291
derogación	4.192200183868408	4.497799873352051	4.259300231933594
derogar	3.3468000888824463	4.8958001136779785	4.566500186920166
derrama	2.98580002784729	5.086699962615967	4.661799907684326
derramamiento	2.6861000061035156	6.047800064086914	5.398099899291992
derramar	3.6610000133514404	4.9633002281188965	4.653500080108643
derrame	2.064300060272217	5.837500095367432	5.067699909210205
derribar	3.950900077819824	6.013299942016602	5.484300136566162
derribo	2.696899890899658	5.432199954986572	4.838099956512451
derrocamiento	3.8322999477386475	5.548999786376953	5.0970001220703125
derrocar	3.7119998931884766	5.0954999923706055	4.782100200653076
derroche	3.573199987411499	5.66949987411499	5.17579984664917
derrota	1.9680999517440796	6.151500225067139	5.535600185394287
derrotar	3.84060001373291	5.880199909210205	5.433000087738037
derrumbamiento	2.3780999183654785	5.820499897003174	5.275300025939941
derrumbe	2.4235000610351562	5.968999862670898	5.425099849700928
desacato	3.8310000896453857	6.506899833679199	5.696199893951416
desaceleración	4.421199798583984	4.170499801635742	4.033699989318848
desacreditar	2.976599931716919	5.424600124359131	4.890200138092041
desactivar	4.945400238037109	4.563799858093262	4.399899959564209
desacuerdo	3.0852999687194824	4.9481000900268555	4.577000141143799
desafiante	3.7822000980377197	6.4899001121521	5.650000095367432
desafortunado	2.652899980545044	5.251100063323975	4.745999813079834
desagües	2.242300033569336	5.285699844360352	3.8148000240325928
desaliento	2.7674999237060547	5.05210018157959	4.575900077819824
desalojar	2.6054999828338623	5.694699764251709	5.146900177001953
desalojo	1.8846999406814575	5.4654998779296875	4.732999801635742
desamortización	3.4012999534606934	5.00439977645874	4.674600124359131
desamparo	2.2453999519348145	5.599999904632568	5.06689977645874
desapercibido	3.4172000885009766	4.240900039672852	4.048099994659424
desaprobación	2.2346999645233154	6.0721001625061035	5.551199913024902
desarmar	4.723400115966797	4.75540018081665	4.486199855804443
desarme	4.085000038146973	4.927199840545654	4.668000221252441
desarrollar	5.729499816894531	4.913400173187256	4.71150016784668
desarrollo	6.1890997886657715	5.002900123596191	4.861199855804443
desasosiego	4.022500038146973	4.927599906921387	4.618599891662598
desastrosa	2.423099994659424	6.058300018310547	5.536900043487549
desatar	5.03439998626709	4.012499809265137	4.036799907684326
desatino	2.8310000896453857	5.050099849700928	4.604100227355957
desayunar	7.060400009155273	4.546999931335449	4.638000011444092
desayuno	6.730199813842773	4.061500072479248	4.239699840545654
desazón	2.561500072479248	4.8632001876831055	4.449999809265137
desbaratar	3.4159998893737793	5.331399917602539	4.763999938964844
desbloquear	5.663000106811523	4.714099884033203	4.6072998046875
desbordamiento	2.90339994430542	5.920499801635742	5.402200222015381
desbordante	4.697400093078613	4.671199798583984	4.429200172424316
desbordar	3.7346999645233154	4.971700191497803	4.6433000564575195
descabello	3.9094998836517334	4.979899883270264	4.696000099182129
descalabro	3.219399929046631	5.287099838256836	4.645100116729736
descalificación	2.696899890899658	5.642399787902832	5.162700176239014
descalzadora	4.98199987411499	3.7664999961853027	3.761899948120117
descalzo	5.284200191497803	3.9890999794006348	3.878200054168701
