	Joy	Anger	Sadness	Fear	Disgust
inquinare	     1.064	     3.118	     2.934	     2.577	     2.938
insalata	     3.311	     1.235	     1.295	     1.342	     1.179
insegnante	     2.367	     1.373	     1.456	     1.784	     1.357
insetto	     1.256	     2.673	     2.287	     2.790	     2.034
insicuro	     1.203	     2.610	     2.438	     2.756	     2.126
insipido	     1.700	     1.291	     1.276	     1.311	     1.307
insolente	     1.226	     2.991	     2.089	     2.481	     2.555
insulto	     1.216	     3.028	     2.373	     2.946	     2.403
insurrezione	     2.381	     1.735	     1.582	     1.959	     1.528
intelletto	     4.008	     1.282	     1.347	     1.454	     1.252
interesse	     4.265	     1.255	     1.369	     1.547	     1.176
intimo	     3.093	     1.333	     1.296	     1.380	     1.268
intruso	     1.208	     2.685	     2.068	     2.134	     2.332
inutile	     1.124	     3.071	     3.157	     2.998	     2.274
invasore	     1.167	     2.839	     2.626	     3.043	     2.164
investire	     1.455	     2.611	     2.194	     3.075	     1.919
ira	     1.722	     1.959	     1.797	     2.588	     1.663
irritare	     1.157	     3.066	     2.317	     2.584	     2.595
ispirare	     3.846	     1.379	     1.553	     1.485	     1.228
ispirato	     3.813	     1.316	     1.276	     1.439	     1.195
istruzione	     4.196	     1.269	     1.355	     1.586	     1.178
ketchup	     2.939	     1.382	     1.397	     1.527	     1.257
killer	     1.130	     3.274	     2.969	     3.436	     2.440
ladro	     1.189	     3.018	     2.628	     3.156	     2.159
lago	     3.425	     1.217	     1.381	     1.279	     1.236
lamentela	     1.202	     2.577	     2.115	     2.278	     2.182
lampada	     2.898	     1.268	     1.308	     1.476	     1.279
lampadina	     2.774	     1.317	     1.374	     1.495	     1.233
lanterna	     2.839	     1.341	     1.342	     1.402	     1.294
lardo	     1.209	     2.147	     2.398	     2.247	     2.130
latte	     3.140	     1.249	     1.309	     1.266	     1.236
laureato	     4.428	     1.241	     1.315	     1.475	     1.148
lavare	     2.394	     1.262	     1.287	     1.342	     1.317
leader	     3.119	     1.341	     1.333	     1.565	     1.240
leale	     4.116	     1.252	     1.304	     1.383	     1.187
lebbra	     1.179	     2.759	     2.592	     3.203	     2.069
leggenda	     2.927	     1.392	     1.356	     1.453	     1.242
lenire	     2.381	     1.259	     1.293	     1.308	     1.381
lento	     1.508	     1.445	     1.499	     1.644	     1.473
leone	     2.400	     1.659	     1.570	     2.394	     1.355
lesbica	     1.754	     1.642	     1.473	     1.747	     1.591
letame	     1.176	     2.108	     2.329	     1.988	     2.868
lettera	     3.325	     1.252	     1.420	     1.340	     1.198
letto	     3.986	     1.136	     1.237	     1.167	     1.101
liberazione	     4.137	     1.243	     1.374	     1.258	     1.155
libero	     4.415	     1.242	     1.387	     1.536	     1.166
libertà	     4.361	     1.200	     1.344	     1.360	     1.126
libreria	     3.013	     1.255	     1.322	     1.306	     1.246
